-1	1	2	3	4	6	7	9	10	11	12	13	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
ENSMODG00000000421	-0.199758330554585	0.0537480684064011	-0.0623372036745238	-0.169342373821463	-0.409452796110116	0.0491749038164038	-0.356042778416746	-0.651638778337384	-0.666236708757397	-0.466928835332469	-0.319437520635589	0.302022103415988	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000470	0.171888956551799	-0.237202312066834	0.0188646858056947	-0.2945195184704	-0.214737393405435	-0.0115555859404157	-0.302547087141447	-0.415907046716186	-1.06082296800398	-0.848750670438326	-0.276981710120944	0.176972114937379	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000520	-0.199467977144127	-0.304841256939806	-0.186642430765573	0.285126721493826	0.228707549503701	0.00840695273313941	0.683723955725479	1.23796690154323	0.778420860842532	0.515812080963962	0.629122499462101	0.627049104571105	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000001015	0.101633605057509	0.459973281835198	0.213330465814017	-0.336752245554781	-0.220898571566182	1.18216619182954	0.370021220060265	1.59829928687975	1.28515308462398	0.264900014756083	0.117710024765874	0.493970527269522	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000002141	0.0316720718863102	-0.336237650799151	0.0446992912972393	0.377907535765488	-0.318457917933849	0.136681668388258	0.456501614318634	-0.597214063101543	-0.651856093637242	0.253219056448391	-2.0990381415473	-1.70433764095606	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000002278	-0.145114870434835	-0.774709759736862	-0.378510234369444	-0.393423293175547	-0.363149113860135	-0.0739469439937839	-0.194263581256719	-0.365972696901783	-0.143842125371918	-0.0690882435221418	0.00729493444881513	-0.0179466140253002	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000002539	-0.170987999721465	-0.237775266909431	-0.0846665686012198	0.4483131402914	0.117808460081345	-0.140788583132716	-0.883097063877583	-0.504161165154458	-0.499656203777585	-0.783845147468598	-0.408502913978324	-0.104955531352506	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000002796	0.612457633294321	-0.0229075841739919	0.0343565335566778	0.109460429599704	-0.0769112076778775	0.0959401488331659	-0.00738210590735733	0.844193877843558	-0.0376716069635901	0.701695987181885	1.39223391709713	0.0381914376337011	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000003105	-0.0432047160308269	0.248124039237522	-0.00827742312179325	-0.0387173764256303	-0.230538959574022	-0.0647550481972159	-0.229654799435898	-0.334310265348513	-0.517015676077819	-0.411457591132757	-0.358119001949264	0.0188895709080814	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000003963	-0.236045396668666	-0.0730061152694033	-0.162239554502386	-0.0621393381668902	-0.0828195970297374	-0.184623018724491	-0.320487692235315	-0.168291937286376	-0.621828401317736	-0.648026322840787	-0.216795537224474	-0.163208274609095	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000004032	-0.129078888834027	0.219211857158802	0.0500758774278065	-0.108749686420417	-0.178011572135055	-0.0248518052114655	-0.393854781217458	-0.0897502871730698	-0.698178313105796	-0.710242842019065	-0.386736786572776	0.0280712742524578	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000004832	0.348812922948288	-0.18924078585639	-0.0785512012664142	0.210360966399726	-0.080373242635658	-0.202982196603871	-0.524297496691476	-0.491135551623373	-0.625148206030743	-0.729692889553784	-0.419996961079569	0.0180818774927824	0	0	0	0	0	0	0	0	0	0	0	0
