-9	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
ENSMUSG00000000149	-0.208283192185524	-0.213317984130233	-0.252612512059495	0.118207289161264	-0.0787983942300476	-0.117971149362404	0.207027085209281	0.136736928748848	0.182726472879798	0.194875127709726	0.133478654944855	1.12009578312633	0.524260083270311	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000791	-0.344408701874533	-0.647594728822425	0.321457116400445	-0.206845766920023	0.0484469304768003	-0.180684506525065	-0.00746010004844644	-0.383114964636329	-0.164237996676151	-0.533367632505106	0.450012757377642	-0.102321584418508	2.89137215840334	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001095	-0.0501918698427846	0.0873973382463094	-0.0841590986562094	0.122485820883447	-0.0884519087048547	-0.0978388154958888	-0.0326823600617259	0.150099625468956	-0.0258594419928544	-0.251076365976449	0.409571513758502	0.431468190477043	2.71599942557285	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001558	-0.101256384602346	0.135418726396475	-0.153714989020878	-0.0846803268213218	-0.06524899092597	0.0654067126516961	0.343331301154388	0.0730013046858044	-1.12230845250294	-0.295329449849397	-1.15045789882698	-1.10357445969834	-1.33937044511451	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000004098	-0.356083098991061	0.159353540540216	-0.0226636661736354	-0.208069786778743	1.14997168622996	-0.0974069972836831	0.196372793394716	0.467655771840878	-0.398480204715598	-0.202434174948541	-0.209045175645858	2.50828066706705	2.70782942072972	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005069	-0.556760112333831	-0.120085150905684	-0.103981455297731	-0.0219793995862272	-0.0783451132285835	-0.0416419690041181	-0.00412752213772105	-0.0471822354118494	0.189114277226175	0.099885649167053	-0.0295116297418119	0.40961327028919	0.582291516103253	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000007122	4.09269813134822	0.332469356350126	-1.34773064825816	0.0370979482924831	0.0709417622868675	-0.0618937572797747	0.043718583659045	0.0718804070295165	-0.013450683600143	0.0204263699588918	-0.0962345400280674	-0.217882980702243	-2.77772920448977	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000009894	-0.0411356079394709	-0.2191848208797	-0.0853503706784284	-0.0713926693908187	0.145892939764504	-0.123434963291937	0.0842622318514996	0.117917058130788	0.128271466589204	0.00640555097526097	0.189562776486387	0.345667529345296	0.465967777471967	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000010663	-0.206806256955538	-0.228657945815286	-0.0513113086018224	0.00394668394843656	0.0502974377517091	-0.0347767558361607	0.0620310058630587	-0.180862413783011	0.0563402047544947	-0.304066933754241	-0.323040097860236	-0.447692670521114	-0.68838837161282	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000012042	0	0	-0.0241453615508562	0.00217220922603065	0	0	0.0483517689585509	0	-0.00550234895875983	0	0	0.456669595587486	0.694259570243512	0	0	0	0	0	0	0	0	0	0	0	0	0
