-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
ENSOCUG00000000017	0.272097031216195	0.126026464429147	0.00676823973602225	0.129836980841324	0.0315987471267425	-0.0393610122474772	0.0517607604294987	-0.10788788965119	1.40123359171113	0.157410188318657	1.66864890727258	0.761289684822351	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001372	0.368251278151636	0.538170983264751	0.0969735798915712	0.335270126477135	0.640900150481909	0.12299697290431	0.264113445931735	-0.0737784024406176	-0.403511434720823	0.0479673140354594	3.16859014938381	3.9389988190755	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001375	0.0897889285952589	0.309394651562361	-0.109127401413483	0.262679949541919	0.0361508660926555	0.275345511661103	-0.103292596846868	-0.244509474989076	0.119495811777739	0.189539887519783	-0.872845472340977	-1.9108248643696	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000002802	-0.524780025170582	-0.0335608465067745	-0.454763821876983	0.010568273546852	-0.119951461083558	0.0651165093563755	-0.134547879637533	0.0613904433499251	-1.07216192799566	-0.311883539059854	-0.773664778402581	-0.801508902511842	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000003176	0.132667190438174	0.138110145568277	0.0406869212230383	-0.0965250155959421	0.147416648091303	-0.440017892138512	-0.137159878360296	-0.139325680345497	0.0690274223576735	0.326888879784376	0.4110959529329	1.14652757227925	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000003801	-0.0428979117168899	0.148538869756932	0.0829915559009955	0.313261645039428	0.0388487428805888	-0.067182223618683	-0.257088572491075	0.184895755449522	0.38525473824957	0.257987199518825	0.393820611639108	2.17042350449932	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000004750	-0.193135491889478	-0.295110480756293	-0.0843074771756847	0.0502336901488407	-0.062795855517118	0.218605601586772	0.153564794625684	-0.0236526164870465	-0.0271755761468331	-0.0161482772509389	-0.459170753148147	-1.29646383480983	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000005826	1.83041144779879	0.0328531891685873	0.900775721384599	0.138278225752734	0.251224328151485	-0.0671975680464443	0.278869449040811	0.224374295096989	0.615599061479559	-0.154396573992346	0.606575603186454	0.392006666614443	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000006592	-0.382921350416723	-0.403532219168041	-0.177099216708902	-0.508916822881524	-0.297973020805021	-0.168939553366046	-0.222157048078873	-0.107376739698118	-0.119232728384713	-0.418326626608688	-0.626512286606217	-0.311216318307065	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000007162	0.44220370361828	0.203971788578769	0.535064626864694	0.10161287504532	0.0161897714327299	0.165141990190453	0.120419304830322	0.296700100110413	0.138592792045114	-0.0233461381087388	-0.189462463875913	-1.9829184339281	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000007282	-0.165233562545452	0.229874607918573	-0.0799158261809174	0.00430604618481839	-0.195965730041654	-0.411070296785732	-0.494571597596834	-0.0196209867915831	-0.152833689947668	-0.251345293925028	-0.491141212673628	-1.29500983430823	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000008024	0.266003626922666	0.309988889288146	0.031411979565239	0.34110088800881	-0.0298351337095077	-0.16346074280825	-0.150268824863164	-0.015909607580606	-0.140896897696448	0.0277207419124306	-0.278050667290776	-1.74908605243279	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000008520	-0.0453585204331963	-0.0883206422075498	-0.0732853247283716	-0.0211827193618257	-0.152679626425517	0.178374792301167	0.104735305892376	-0.205055244344586	-0.241393881948552	-0.330515537905356	-0.30353502354285	-1.00472310923737	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000008553	1.73210174385364	-0.0694556132195117	2.64263821162432	0.169520574369236	-0.169423015087927	-0.0538907524713239	-0.482915811069868	0.358086973114058	-0.0359322371864279	0.383505737007001	1.58066992708369	0.839746440067471	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000009608	0.115358639813804	0.030061309847186	-0.0234704360175906	0.0401837790442707	0.0457821953466624	-0.233147983440265	-0.400002086930145	-0.112679161427574	-0.00586610870559667	-0.144540496068292	-0.550442976645139	-1.46491319986623	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000010188	1.47049081955958	1.66686380181798	1.58851436410052	1.72876957457279	1.58852869912149	1.13661869409609	1.40093324903977	1.69849889904726	1.6740800917685	1.50955245166993	2.01588745469735	2.19066574925313	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000011239	0.192251987865329	3.52568670186485	0.242577930809796	1.32702985200672	0.503920150033909	0.307940165141609	0.435768965965166	0.108669698230746	0.151682648159519	0.0285786720803864	-0.298929449513537	-2.64479854274181	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000012338	-0.442035855653559	-0.409822766968141	-0.330683933381263	-0.623888300068792	-0.417370377587986	-0.266083923129827	-0.332250459009462	-0.302827449157819	-0.0300527740512866	-0.454639660569052	-0.782242389976822	-0.880318559297367	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000012397	-0.290650634532655	-0.0858524024978156	-0.0660475202393256	-0.04945569626038	0.0864859204018078	-0.122532958082876	-0.0474302915888902	-0.138178404124575	0.172267238488339	-0.190831728144638	-1.13283662313737	-1.70541136219969	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000012639	0.452088584145041	0.0486370042822468	0.228136435868592	0.00468153166533547	0.0974340347887015	0.014571436412699	-0.0748756203094096	-0.168798084307189	0.00204820839979369	-0.143304984536027	-0.863601293624685	-1.458159685378	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000014741	-0.319312633835567	-0.498623180538445	-0.24949259866243	-0.691647234224869	-0.429408281945896	-0.146318084021322	-0.256956786029768	-0.181882958869505	-0.0535014626193524	-0.348454652160181	-0.520511568114189	-0.637250192653502	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000014818	1.19361941469974	0.150533076696392	0.881205237005168	-0.20547378841066	0.19598744067895	-0.206825318063962	0.0513131928613078	0.275593990749053	-0.0617393131590096	0.0710558489055071	-0.464357187655556	-2.99647775616626	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000014985	0.137690457511027	0.0729090018715448	-0.0750386095780033	0.167229103459571	-0.0216680897319677	0.259133034961106	-0.199432211560421	0.0559295424502206	0.095066252229687	-0.120630936980949	-0.24396743705488	-1.05188512660113	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000015999	0.052470889754372	-0.250129405627849	0.0742732180272649	0.0547914374215463	-0.123494252020181	0.364907318550097	-0.239904148148138	-0.245112189732696	0.317690525481166	0.0368647998244103	1.1062182759769	4.12756349804616	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000016655	0.317367337045684	0.223508292785751	0.233006443087389	0.171192626036372	0.187810078777465	-0.0800648655068885	0.164454401237876	-0.0510501203318148	0.358538927897264	0.195041858926965	-0.579787794023087	-3.27976047593023	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000026544	0	0.130262548833889	0.0758421017730731	-0.0335194331333661	-0.0641303838373665	-0.0777069444194157	0.08808359752174	0.159925003391877	-0.125490506258931	-0.111229407461879	1.4144836705909	2.3851861766898	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000027203	0.0232551811072126	-0.107081724809168	0.0635429120779347	0.437751329267303	-0.0503666574353676	0.0542210887542765	0	0.0768999127002412	0.0297545248138576	0.023792878882379	-0.0902868149399385	-4.12700459211903	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000028216	0.55054606818233	0.374690650553495	0.351063389485929	0.0741329306707024	0.0235171588822816	-0.051869659920643	0.210906313279919	-0.0424900218786566	0.179230708578581	-0.0577155443772206	0.484781874610487	0.386285924870426	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_042762	-10.0301842062279	-9.51950948935123	-10.1027113717547	-9.9464115987491	-9.43703136865061	-8.76287216247122	-8.89264980975846	-9.58970276106368	-8.42207255775648	-8.5144092277594	-8.68925261467867	-8.13666360820321	0	0	0	0	0	0	0	0	0	0	0	0
