-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
ENSOCUG00000000129	-0.0929511440263617	-0.172255565480769	0.0355576677795284	-0.355093824374084	-0.205281094337329	0.0535818991509744	0.242782197292323	-0.199007612895981	-0.0158239276429493	-0.0233370672768469	-0.152809493228609	-0.143276736588359	0.0406541960470612	0.875226743946512	1.58871134648807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000276	-0.169445928525858	0.0884519760322355	-0.060909636350206	-0.0693560978763204	-0.212363033231573	-0.268427138256548	0.349513014395865	-0.183859908853435	-0.0722374555884233	-0.079453493909968	-0.0175443808612119	0.396178188617625	0.229389118822019	1.03469170359316	1.29398810759243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000286	0.0456104396708197	-0.464585003343854	-0.0484819020936982	0.0857077504130146	0.030534378837455	0.107257820528131	0.0522494447057724	0.0207537234251305	-0.0588967622084855	-0.0462587414421236	0.102631054153965	-0.368221257710788	0.158132132431922	-0.761452779372799	-0.792978269334244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000304	0.252704128998619	0.0145278482751867	-0.0888056034065818	0.130343238404076	-0.0717142335463317	-0.00972023758703511	0.174093035974217	0.205073619752654	-0.247559154146045	-0.201404614312411	-0.103183707240177	0.210310354798852	0.275790788611902	0.54195495821439	0.638298859876356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000464	-0.188840873119364	-0.583679399130623	0.206874949793383	0.0747001707933501	0.14428015279969	0.199112513203993	-0.258457776163668	0.243911904535941	-0.032019105524407	-0.0569750546206942	0.0121043589820804	-0.453947330996122	0.0409493168181925	-0.923481168327866	-1.08961333773333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000570	-0.27096738133487	-0.11431013080876	-0.0197211481804151	-0.139601549489504	-0.0718867430825849	0.0782299444781618	0.332460331851816	-0.0939284930951736	-0.0228591446280921	-0.252656102642006	-0.290745119620269	-0.315591477025842	0.183915748325328	0.500210607681755	0.936009583711705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000611	0.213579484846788	0.122712540566018	-0.290424083150937	0.076738031857305	0.0365942540455677	-0.128834395324654	0.213604563130366	-0.0576798397525833	-0.0211839059424204	0.422851342573181	0.0296815032899858	0.515277716984466	0.690961639612167	1.73632200292233	0.933805054892088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000621	-0.0250280997736998	0.486143246562468	-0.680040043229647	-0.0826594019015916	-0.198324072040382	0.141187348195026	0.0527705961085472	-0.068081992690824	0.452325239986182	0.522082358154964	0.23495007764834	1.15830984897388	0.813966383323129	0.361984991101472	0.362305819338622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000696	0.209641335011955	0.24094987933305	-0.408754048265372	0.122472757240703	-0.0421097571426019	-0.125082561980395	0.0553748589771512	-0.321357640837073	-0.215542984868485	-0.369792835179217	-0.197565172697967	1.71133939863536	1.01252453089181	0.579101655174698	1.12074826437882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000906	-4.11185446292443	0.628318462939882	0.0605244328245437	-0.326849002054172	0.647711795017219	-0.318698383274425	0.00126173506722616	-2.68088686892357	0.168019561134344	-0.746312435553775	-0.097562384727567	-0.140238995247941	-0.0287090731337587	-0.79778737159386	-0.117281553902334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001082	-0.43277813960251	-0.661663632011873	-0.332159282373341	-0.126507500195193	-0.417076190856156	0.374301382259786	-0.164214421205787	0.310358702445467	-0.141001630134446	-0.212382676292068	-0.131546311394232	0.231590257521145	0.193557442585332	-0.93768267433559	-0.793444781056625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001127	0.153601170684365	-0.306442700910511	0.194836263296999	-0.125053673848862	0.0589819060250472	0.194391239474378	-0.134197026146811	-0.106432776387141	-0.0164287234742613	-0.127681476916489	0.0870245400491454	-0.307655893691061	0.241906585426098	-0.847508489557772	-1.16577332750497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001269	0.119942924690875	-0.535958413655583	0.0991333055188317	0.0521148884118006	-0.00875886698273121	0.162820893423078	-0.0335152234040184	0.135255583828386	-0.0408356715735323	-0.125288553349957	0.0373931578747353	-0.233871854363034	0.180351926974993	-1.03299913373535	-1.03701538933539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
