-6	-5	-4	-3	-2	-1	0	1	2	3	4	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
ENSMUSG00000025332	-0.427236340730691	-0.377214201521046	-0.308441339985908	-0.235218284517964	-0.391499268890778	-0.423344464470246	-0.437494079519047	-0.327210839852921	-0.665652737410171	-0.416865652785282	-0.372955948290093	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031226	-0.278333705355376	-0.186254296079285	-0.342889648811552	-0.148221155880146	-0.135769745521372	-0.354180726280307	-0.188304444730818	-0.110840809569975	-0.199881033254609	-0.209632796521336	-0.294496396360939	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032557	0.376166691399815	0.485319434338571	0.340539385957262	0.451806004536314	0.371157983350695	0.449089485569757	0.379510387130443	0.594384657815301	0.593999993009904	0.529992734117821	0.32863828787774	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035150	-0.709347816288066	-0.715269287765079	-0.511269982943809	-0.563308701623972	-0.658273054747682	-0.673221171869644	-0.576504872308348	-0.623866744329972	-0.778270751013778	-0.0893114201630301	-0.680814854187763	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036368	0.243031907112337	0.250068216548295	0.0687312470957511	0.0617075724976051	-0.0766746308998085	0.0726771112155085	0.0569014493796853	0.186411826858563	0.487286940259696	0.345484837493656	-0.124314039661509	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037369	-0.528087428457076	-0.43838814288508	-0.416745130951206	-0.358333242219043	-0.745480549908439	-0.498973258303064	-0.447158333179542	-0.380193711802253	-0.674246000249757	-0.311470021140762	-0.45252631982602	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038530	0.356673558968577	0.293876232723747	0.425522230212205	0.229829790014907	0.227689227125435	-0.0298681284663633	-0.386247264794202	0.248677268002964	1.05435745775326	-0.0949588603804585	-0.179827900577429	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039103	-0.00337015964039855	0.207114926245976	0.115604663068053	-0.166703532965427	0.0881883394298537	-0.124055929008511	0.195786544783767	0.458073677255091	1.1165572867565	0.488945578988408	0.0534501956719655	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056673	6.20034010601941	6.2433797141438	5.74531982222097	5.87930472879144	5.16568526455657	5.97178224375546	5.76885748005022	5.63835999376519	5.7071130384144	5.84256019059504	5.67944699020139	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059751	4.44611867789185	0.0977205341095573	0.0568713574847182	-0.503437075236325	0.427819433619232	0.171431951186191	1.88111544217154	-0.449276683961112	1.81774399464863	1.84809642428671	0.0361373837325856	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068457	5.1333993404993	5.31941784921872	4.96303837265639	5.07778025106427	4.40228840066418	5.26952211152533	4.8212264615326	5.08590059972358	5.61597016974763	5.63215808935553	5.66687169362288	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069045	5.69294016984806	5.83622828336089	5.53906297171872	5.43781299550855	5.22040275164305	6.41965725819052	5.86819618705757	6.13444948264623	6.4840699966466	6.23413628649391	6.40800627141049	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069049	6.565017926617	6.84658240966882	6.40838876131237	6.52454018231094	6.10538674227566	6.60736946370515	6.39590531006575	6.66070655442216	6.390167025416	6.27383501528358	5.92779864243076	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079297	-0.577199171158271	-0.33604438658732	-0.411244418340734	-0.329984163015371	-0.671997388244745	-0.300757064628844	-0.0733187770556578	-0.309745384251173	-0.588373615593375	-0.451010594896145	-0.181585288951174	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099876	4.30596273991965	4.42580944155913	4.13471973898335	3.91685905992497	4.30415769335391	3.51550683508444	3.43327182902032	3.46348087848347	3.4711751664254	3.51361643747651	3.08368249922266	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101059	0.377906102657285	0.449846950418933	0.505520983731757	0.310210427725647	0.118648754412518	0.354823091431204	0.251637002157151	0.319404634018009	0.292429834957816	0.241945971813804	0.21734514097577	0	0	0	0	0	0	0	0	0	0	0
XLOC_044866	-0.360389957261045	-0.401594237793053	-0.414779724151126	-0.177420612332636	-0.39579130633417	-0.438138679881842	-0.23154216630394	-0.116804811150919	-0.159628339031666	-0.286259733130535	-0.263915292265887	0	0	0	0	0	0	0	0	0	0	0
XLOC_045664	-9.14070896071727	-9.23356821060747	-8.0253141302049	-9.48447784257009	-8.98538646287106	-9.90642754842273	-9.57386146370133	-9.4193626744894	-8.67269070824511	-8.48054405261117	-8.97377616346194	0	0	0	0	0	0	0	0	0	0	0
