-4	-3	-2	-1	0	1	2	3	4	V1	V2	V3	V4	V5	V6	V7	V8	V9
ENSGALG00000000004	0.296625883612753	0.509602641900661	0.317524266694728	0.444175929555504	0.439977706019041	0.364901419634549	0.103952457436139	0.798006491283761	0.446756484607483	0	0	0	0	0	0	0	0	0
ENSGALG00000000140	-2.56626845941249	-2.72052393030844	-2.78605630203969	-2.87029379155518	-1.94630439705039	-2.362841218863	-2.1951159153551	-2.3839538025133	-2.23313908967049	0	0	0	0	0	0	0	0	0
ENSGALG00000000151	0.204187164362426	0.413398280692781	0.255550561672834	0.364356503653853	0.710687329265719	0.435514562947744	0.597114850785202	-0.0885619697738704	-0.397123796065329	0	0	0	0	0	0	0	0	0
ENSGALG00000000171	-0.234138811367207	0.00298680047965583	-0.116149416202614	-0.318275855774268	-0.214024987209632	-0.221835471937547	-0.459117820467436	-0.344307495081997	-0.372408047327735	0	0	0	0	0	0	0	0	0
ENSGALG00000000189	0.592586405580221	0.697915275611215	0.658670899470277	0.744130160834953	0.712290148381188	0.582706301703083	0.785897186286241	0.81047003262769	0.600148842298212	0	0	0	0	0	0	0	0	0
ENSGALG00000000208	0.150348678113111	0.384018497175822	0.556356779150594	0.126382409320859	0.329675447748693	0.330859508883665	1.26586342800344	0.47323392808019	0.398736412115375	0	0	0	0	0	0	0	0	0
ENSGALG00000000215	0.657181521116261	0.769210379303672	0.636880201327449	0.624301303812274	0.652799011788828	0.38122859284465	0.557557703079157	0.742392832854244	0.728520453879285	0	0	0	0	0	0	0	0	0
ENSGALG00000000218	0.798672062637325	0.672854222020565	0.694225343891704	0.968494746327917	0.947622736634836	1.03921849076967	0.780318516278653	0.652824937370083	1.02983459624271	0	0	0	0	0	0	0	0	0
ENSGALG00000000220	0.432354291785321	0.44501245351819	0.54383576142404	0.545493554196394	0.353652862484044	0.591838705199462	0.707206094790395	0.437891674968823	0.509892503807372	0	0	0	0	0	0	0	0	0
ENSGALG00000000244	0.373341406330292	0.362579311685375	0.361078736303374	0.589771393839823	0.52511637895929	0.85869913483447	0.331477476531785	-0.00360703419474628	0.0618705762331637	0	0	0	0	0	0	0	0	0
ENSGALG00000000247	0.716950029117325	1.02764525815707	0.844960719998374	0.804453305781618	0.706831439694074	1.24699420962658	1.04290743352573	0.857555492257536	0.865653137502074	0	0	0	0	0	0	0	0	0
ENSGALG00000000253	0.320160448771801	0.432882703417223	0.241033379944549	0.304212684013004	0.406601159906561	0.342434152844964	0.19155017126401	0.376854366376541	0.314024787627831	0	0	0	0	0	0	0	0	0
ENSGALG00000000255	0.0638620715598268	0.265349169691839	0.0897931594925012	0.141025749267276	0.720231968908149	0.281822613351807	0.301008747332213	0.695149297762395	0.381844730765932	0	0	0	0	0	0	0	0	0
ENSGALG00000000264	0.265223956563088	0.265632664859872	0.301176394134598	0.605325460108705	0.520441509656499	0.563832518522475	0.466908523735667	0.80933220903016	0.391415102700333	0	0	0	0	0	0	0	0	0
ENSGALG00000000273	0.376699490993262	0.266038786595872	0.444788603341688	0.612703913406172	0.28617382049263	0.375837636780696	0.451734884408939	0.500214157670177	0.339118916824515	0	0	0	0	0	0	0	0	0
ENSGALG00000000276	0.0114448019222078	0.278609261871731	0.143969775157825	0.135480317732954	0.388005554181395	0.306044474063214	0.0610708232487838	0.486424198034405	0.600204799046262	0	0	0	0	0	0	0	0	0
ENSGALG00000000386	-6.68948202271488	-6.52854360148732	-6.53025370601285	-6.83608017195608	-6.48287031655529	-6.47746486081622	-6.80781496475233	-6.80341630700551	-7.33327116496412	0	0	0	0	0	0	0	0	0
ENSGALG00000000395	-5.09171731539165	-4.90969142487871	-4.36827719389406	-4.60058410954905	-4.14713925219417	-3.9625618794928	-4.80276626777712	-4.2245851013231	-4.2733144812476	0	0	0	0	0	0	0	0	0
ENSGALG00000000428	0.86012964901794	0.888302135616657	0.634482445370512	0.774046164446845	0.855199411684382	0.939262888706644	0.564442983418983	0.903657241830325	1.02432022445336	0	0	0	0	0	0	0	0	0
ENSGALG00000000629	0.271942014272444	0.16824808994385	0.207175541006199	0.218031816299568	0.2064932916196	0.202624850916801	0.0221294070713141	0.27559240594369	0.215745807217472	0	0	0	0	0	0	0	0	0
ENSGALG00000000719	-0.262707413466211	-0.102075314876382	-0.243492540086068	-0.0313039569314508	-0.25298653150767	-0.219489880558198	-0.31834672890604	-0.333102946656114	-0.0605185045344934	0	0	0	0	0	0	0	0	0
