-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16
ENSRNOG00000000442	-0.212013585118038	0.103801799994063	-0.160312614524482	0.130074591844776	0.154040230780562	-0.157768532014704	0.147775697086883	0.330041902850438	0.134744751839214	0.365361857194772	0.73099400655199	0.720478003094374	0.801091703575746	0.499449983218282	-0.436035978874923	1.38232751080008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000564	-0.182017490925022	0.0378750622035052	-0.125326117140421	-0.105708365472784	-0.00924867567122084	0.00166678546716442	-0.0467511425467146	-0.0609161749551997	-3.95695519407114	-3.59389464564251	-0.20510176245758	-0.218183032562289	-0.294105663016269	-0.831033676269561	-0.436781785860025	0.299037674669969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000001591	0.338014581836386	-0.274458411510227	-0.0225078874412987	-0.380853615603722	-0.299634591548328	-0.437916634341058	-0.224034076696335	-0.123618540201707	-0.270118158828315	0.0433233744542392	-0.179141569968547	-0.179242244931005	-0.597391773137376	-0.254917545388026	-0.218560710957556	-0.410636658068383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002501	1.70376341558725	1.90886113570061	1.41064602890038	1.91681002050963	1.77263836397248	2.17563200761096	2.4801433853254	2.12739341995104	2.6201739933218	2.58587283808349	2.74622462930607	2.12964103172469	3.46972044080446	3.86656431713275	2.73940843779874	2.84571293796682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002653	-0.381497726493487	-0.237680406265681	-0.301985369411592	-0.139136014534337	0.0132078829087923	0.234172137645745	-0.322738192732249	0.240880033694055	-0.268427861748806	-0.384092845660921	-0.0841468330645698	-1.65348340602147	-0.451843494822485	-0.240121162492116	0.318238235763443	-1.76358245760041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000002662	-0.493780810273405	-0.471650185980786	-0.635132619482332	-0.407725025183202	-0.500157654905518	-0.715186468975521	-0.39980602657897	-0.55939493143017	-0.654151173617237	-0.564750257576619	-0.425198307191534	-0.52461258828703	-0.744930924995291	-0.392496014533949	-0.345057555455055	-0.590215262645235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000003426	-0.333563343914806	-0.16481056693723	-0.187125799372571	-0.117866336096047	-0.143233027419701	-0.232818745154438	-0.24104973091755	-0.186509706586777	-0.0430482909300602	-0.0933314880290901	-0.120252128545541	-0.259801345285533	-0.0231337201876727	-0.0658899684072178	-0.334376312129192	-0.40616332519463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000003792	0.226643462963594	0.3941005246533	0.379697078644048	0.401123960992337	0.29342083211653	0.318477532261899	0.0782548139466321	0.24746965270305	0.363889210777359	0.0947681363558974	-0.00117355017478182	0.219948946957176	0.373434115116015	0.351907149407285	0.323809331104925	-0.102779914457379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000004289	-0.396844538964913	-0.0918052852284275	-0.193645100375209	-0.16393041552033	-0.213566876572211	-0.0662977590528095	-0.162838948802665	-0.292048380849821	0.0182923909881891	-0.332944820285695	-0.222950948268794	-0.221298835682627	-0.0266560248340486	-0.151388497428297	-0.436408610026196	-0.744095164187813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005700	-0.127321519870037	0.0233169541382843	-0.51604664730985	-0.227856579847626	0.00472852172220461	-0.0457226943624023	-0.296161621474197	0.240147717728062	-0.355580380348749	-0.875077148688037	-0.330489937232548	-1.01292022336705	-0.161547260012798	-0.761683775898545	0.518639968674114	-2.16872973340601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
