-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
ENSOCUG00000000066	-0.0564099504706879	-0.132778756639059	-0.0479658022123497	-0.396628874166552	-0.259619258149046	-0.168402603121337	-0.589492024376938	-0.108781719569511	-0.551719977272562	-0.218435221311569	0.181962421855706	0.0346454625895825	-0.954083031129497	-0.62123537030396	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000000754	0.171729366620789	-0.00307679313762588	0.330702673934141	-0.0759164634401761	-0.208657977226675	0.173609625304848	0.289021943036529	-0.175628607202658	-0.145720791820849	0.110351118183829	-0.549575179003051	-0.117529378354815	7.08523658821358	3.44931017615951	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001164	-0.0433874247457062	0.209849056432915	0.201098051595028	0.219637969198622	0.0718710764995194	-0.0250064861395245	0.061410721173436	0.00177334140732999	0.0394895247215352	0.114934038068308	-0.0598098818860135	-0.0192861504414772	0.378454615851584	0.571288623687781	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001249	-0.061078142726795	0.199591719733516	-0.493572721634416	-0.06146766811941	-0.0614263803032236	-0.350225602201151	-0.316950865643523	-0.00927769117943456	0.223351361646608	-0.173247147010566	-0.147057830897198	-0.100505944789433	-1.06599190211889	-0.458839379229476	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001569	0	0	0	0	-0.0518963321638445	0	0	0	0	0	-0.0799241853457712	2.36709751027037	1.2836211616855	2.37543562389919	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001627	-0.22817879117747	0.410274785306288	0.0355629688538205	-0.066499808883354	-0.0420807180227151	-0.0969937862983668	0	0.0426811941303414	0.0414678867085624	0.0367970435363583	0.0689967547591199	0.272047601555392	-2.03935286606653	-2.64188989679038	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001833	-0.27388800429711	-0.0946265348460527	-1.14827516317071	-1.70218816532004	-1.73427890158241	-0.11463312480796	-2.33585381970083	0.695328911292947	-1.442643883884	0.24834969607186	-0.127146880050144	-0.118829448832144	-0.509661848185722	-1.303394537541	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000001883	0.327014056777229	0.259094205666416	-0.273191331284926	-0.762523076031011	-0.0963977227247037	0.13539417825193	0.191294450022883	0.347413148117883	-0.149837602069531	0.524942523298915	-0.113382821932366	0.0352420096651793	1.63785678052589	1.80253669821758	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000003084	-0.0610710822617191	0.131651177321637	0.0303989861649115	-0.171959854644384	0.160253814651498	-0.21579687297262	-0.0225554587987476	0.184519857855089	0.0403478787460395	0.00413407282365674	-0.146288645587526	1.71256216427447	0.301394667498779	1.61570739253195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000003928	-0.0238248749852392	-0.0691967627016239	0.00832816494306643	0.0856443657230184	-0.0146922800459106	0.272283070325978	-0.0354689731420588	0.320174897888376	-0.17434349525266	-0.0168436118853967	0.176171374799535	-0.280098030670187	-1.49249050709512	-1.00529765811375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000005398	0.219981836609983	-0.369680683795759	0.606546870639583	0.00617984694239837	0.0643481130334491	-0.0439436815677769	-0.107095608807719	-0.165038700937045	-0.0696438473050787	-0.468011054403547	-0.196512417314984	-0.830573078796622	-1.24824467071409	-1.35495733297784	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000005854	-0.140022229991356	-0.0312541457549735	-1.25233538446584	-0.171192872315201	-0.269207679498852	-0.0892609628100089	-0.257684145455602	0.318852029050691	0.129238149158663	0.163288147275235	-0.841997329796578	-0.372680707547297	-0.967634650152767	-0.314661309512086	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000005979	0.139261980829021	-0.178081664445765	-0.0945635975628683	-0.0410981794453128	-0.220560493476452	-0.0302002301463783	0.0321599447207062	0	-0.172472394650016	0.0589212821657821	-0.0782266692079643	-0.615403159417903	1.22358602988195	2.3059410565557	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000006892	0.120476027671437	-0.504833853975712	-0.256733281665914	0.264457923942884	0.107287300533817	0.0823892881694015	0.183260535981323	-0.0504884798627092	-0.0233545870249861	0.784072200153236	0.440147661006293	0.200458299123589	0.557371167237247	1.16225889039325	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000006992	0.363286844138889	0.50306858578953	-0.0973117030653978	-0.244629337861347	0.103940789035527	0.0434151506468604	0.0195448831967618	0.0663118633673184	0.0763360860434145	0.0589212821657821	0	0	-2.14941113884813	-2.17451559104731	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000007643	0.186688639880825	0.336312589656282	0.446138570870374	0.0645826119555428	0.224989636843965	0.00983679823965034	0.0575895929316212	-0.165341263715295	-0.628078584790905	0.116388515908219	-0.124142998081548	-0.606086400957998	-1.86698668870737	-1.7470986028205	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000007699	-0.676161138517306	-0.514102091574582	0.238057214211665	-0.441980387101277	0.319881095248379	0.2743871882084	-0.684860818823989	-0.22772128764996	0.38314888198046	-0.149757414643423	-0.155212698340605	0.922659306393768	-3.93784561287723	-3.17986991904298	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000007759	0.0353406820192075	0.287183701874943	-0.32735366902765	-0.365971961203839	-0.213089420853706	0.506433606185861	0.0980651840577823	0.236509219464937	0.232668694450388	-0.280694024472811	-0.249152270211914	-0.217256654262122	-1.37211899422679	-2.90666244962729	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOCUG00000007888	0.453410104846657	-0.00508465325935159	0.0291209731681903	-0.0952102070206087	0.346290452028608	-0.0739824841033457	0.248538690387784	0.00696301723979781	-0.118353058498643	-0.244328489886794	0.0167768510733779	0.0224847251541038	-1.13359493325955	-2.83003587113735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
