-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
ENSMUSG00000025332	-0.372845351765742	-0.281582648282694	-0.542251556474391	-0.42450182701895	-0.56935464946231	-0.39851540002821	-0.270994110772793	-0.359598170529591	-0.458818206996	-0.441202208095593	-0.434503556546574	-0.251668277606409	-0.43535501888685	-0.338423461621176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031226	-0.611190737172698	-0.332130047171885	-0.289404131911521	-0.444210570072382	-0.540006726525672	-0.396885158901357	-0.361618070538155	-0.3877853888273	-0.13541366914257	-0.235634307252047	-0.106417552618927	-0.263283030990654	-0.168124236301448	-0.247230456965297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032557	0.339601133969391	0.196000284407564	0.458517277246511	0.347348254602025	0.456773556937941	0.326629594690084	0.37483959727004	0.408183483043701	0.47594976227775	0.350490781015203	0.465356413578657	0.334265696474605	0.446513149478833	0.391085226196084	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035150	-0.434837278879137	-0.217112229552947	-0.447352718367775	-0.720259817660564	0.0762950403482279	-0.866683400755663	-0.796357284383772	-0.556839038462598	-0.661442793487226	-0.415953529824148	-0.467762118126527	-0.607437369120383	-0.530034100605353	-0.410494033619306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037369	-0.655965273630338	-0.450148791500687	-0.322846752692377	-0.566730637875773	-0.484082729388299	-0.453061055125014	-0.306697624467258	-0.44262141824013	-0.265179607643938	-0.485825134684572	-0.500905672266378	-0.388064000123398	-0.245664146032799	-0.462403002207232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051599	-0.489652533168955	-0.0884154359356442	0.298928599198398	-0.29980776301418	0.120013403002879	-0.37771318481118	-0.284727538582777	-0.118321836623239	0.248252662403822	-0.365900480599882	-0.303355218574024	0.0870319155526853	-0.537840867005031	-0.699002316019314	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056673	6.06916389798388	6.12765621247872	6.47728134161657	6.44338976933486	6.20618140650831	5.97083504819498	6.00843230263082	5.97692796351085	6.29450228492754	5.92718961411571	5.67894861689289	5.42664068206688	5.65083201607737	5.38627250937654	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059751	0.121084113893982	0.221716320342569	-0.0825953497104528	4.70782997500251	-0.559997592128028	-0.297180076759859	0.0496978095790137	-0.0231132087421573	0.102827548914092	2.0866070793909	0.441751883097386	3.61647312705184	0.083874387770824	0.369885882414776	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068457	5.28556551228372	5.66711297534752	5.79299057048707	5.41939947467269	5.21583211090533	4.94747431663067	5.10552138228124	4.85477051217715	5.4842488330978	4.59933646238592	4.64030173585377	5.2988188398729	5.62201997030379	5.54589549178863	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069045	5.80725781976734	6.13305833033943	6.26308669679501	5.79020303075513	5.69305046060699	5.29787982495798	5.78433185282152	5.49894522258095	6.56009359486691	5.56840309536973	5.95101949836021	6.25536845648967	6.47499531152546	6.41424923193357	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069049	6.13222368688612	6.23217533368247	6.88746864935614	6.51413192045389	6.46057650092556	6.40481208645786	6.23328272314166	6.39277658106342	6.94654094028164	6.56546894790471	6.48848040959512	6.25377909241046	6.09444761245714	6.0795261984901	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099876	2.91605372845192	2.70036158725424	3.70362243874042	3.8369179178973	3.57649887761079	3.84583021565853	3.61709828897137	3.61680402695618	3.41489908534568	3.3571136632462	3.392288053892	2.65961420513619	2.69204690494074	2.56135070483268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101059	0.342351029538218	0.208339066252431	0.452888460636006	0.450150566639777	0.140972314436377	0.294480255702354	0.239068707481939	0.218720271097305	0.448440244985724	0.124799493071463	0.367100381685851	0.433730078885967	0.321189402813185	0.183159269764015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_044866	-0.483643150736439	-0.758368461652324	-0.146898295415369	-0.42182546010982	-0.383547234527188	-0.383218058582844	-0.547210760901064	-0.649952820610455	-0.485918418519606	-0.590504348201566	-0.643331156469435	-0.410904863228805	-0.454991746712159	-0.44422642946201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_045664	-9.80085545638842	-9.09975820635705	-9.36159139634717	-9.34495312674009	-9.75936101722628	-8.42827638341088	-8.33387313974509	-9.78340860457971	-10.3003068980583	-9.19407420154403	-9.44001015757793	-8.27346746209961	-8.79357920875381	-8.09987732995742	0	0	0	0	0	0	0	0	0	0	0	0	0	0
