-1	0	1	2	3	4	6	7	8	9	10	11	12	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
ENSMODG00000005735	-1.76267383254013	-2.18398456399547	-1.95099653454521	-1.68694636473552	-1.78560369543767	-1.70219678058741	-1.1836041906433	-2.15014389946242	-1.69111537378459	-1.69631996621649	-2.05360494956104	-1.90018764799404	-1.16724765006455	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000008546	0.029500110567108	0.366779391647818	0.117750987200202	0.161736726263567	0.203547176605342	0.365458828853905	0.222910727149561	0.0544348149326535	0.569867402245983	0.945100664804295	-0.0593189536583978	0.336946479339303	-0.131405426532838	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000009243	0.0229609528980896	-0.594078050603889	-0.827800000616976	-0.850728931537462	-0.587918042290449	-0.44454252481355	-0.0649743818575317	-0.275989574729229	-0.271115356949374	-0.495134977151602	-0.729362064888591	-0.583306209929312	-0.336798910562092	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000011337	0.167824553875697	-0.541678739764704	-0.456024404913951	-0.430352799703421	-0.346296997407766	-0.349394586443134	-0.528086753620149	-0.544382643181001	-0.423193622063831	-0.313205296755303	-0.580252998034661	-0.389143160379925	-0.413187992886058	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000011547	0.129522112817909	-0.68469089107203	-0.609869866034571	-0.732659347949565	-0.494293758476272	-0.441617858087693	0.0805835222708504	0.0643261797086812	-0.414998890377351	-0.488588882363524	-0.427393655344275	-0.368232723295383	-0.356843558432236	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000013238	0.212162026378152	-0.268824038437812	-0.454523405659101	-0.355747568103579	-0.374283978749332	-0.304726644660693	-0.27833578364484	-0.427807178204363	-0.226334926868073	-0.0972077251519208	-0.547950741883962	-0.240044388039998	-0.449058663612896	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000015195	-0.328394188469367	-0.41170153260229	-0.70928719570677	-0.47301663857662	-0.44118552889749	-0.467116664136028	-0.357818794634138	-0.673741078799052	-0.685849660241663	0.0589466602282256	-0.368797575560068	-0.252655675616277	-0.376907841874764	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000015259	0.0950790963857955	-0.295727271349232	-0.581999745431368	-0.442893993258922	-0.620355527326627	-0.616571140111322	0.141813803905912	-0.703693592497659	-0.480259445348009	0.170998535509695	-0.758842421424396	-0.282863709628362	-0.701936363025518	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000015320	-0.754844485052625	-1.67304191333304	-2.06259164060842	-1.79888144380833	-2.22863543285505	-1.39976188171635	-1.69296659168857	-2.89832719695973	-1.93612707539362	-1.70228661777994	-1.89984517356719	-2.07365261117463	-1.22148054717368	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000016737	7.1213735340548	7.59645597316757	7.39049070920871	7.1922007819765	7.11739859187384	6.17691345649644	6.01359484920959	6.72911145079988	6.60989323006919	5.91562118988083	5.178162221476	5.19547961767004	4.42577274786918	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000018722	-0.459094069010013	-1.37910952651481	-1.80347473929769	-1.16655496925815	-1.69711206391394	-1.01056010061493	-1.12106223767907	-1.47648157610019	-0.502347499464075	-1.11927049974649	-1.795226409537	-1.23728510095471	-1.14487829084344	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000020772	2.7169382940289	2.2929177560921	2.58962555038558	2.77925985553765	2.04143527267818	1.54735631171356	1.63717181932188	2.17428294041485	1.54896851288933	1.43759590863064	1.13180976239808	0.74984509158838	1.07096092281287	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000023771	1.46180015069076	1.630185334731	1.84632141013173	1.69403693311001	1.69185301889072	1.07476924280088	1.46669095145304	1.51444558715811	0.375011191010099	0.394218025292595	-0.0676280602610269	-0.170782467421897	0.268827405868091	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000028278	-0.183770439992979	-0.275352748243172	-0.318320026071414	-0.538021641187912	-0.342656902259116	-0.488357733043124	-0.504109885726503	-0.537812431948264	-0.342238251333114	-0.0621244139303014	-0.497813755586273	-0.216011674939884	-0.448100890605664	0	0	0	0	0	0	0	0	0	0	0	0	0
XLOC_045488	-8.81553679614748	-8.28655266921728	-8.68478992324605	-8.79521871815367	-8.49406536171711	-7.76323026113781	-8.28441812134282	-9.26968632685309	-9.28324740579036	-9.34496147413525	-9.20198567161584	-8.6957706481926	-8.30121793332773	0	0	0	0	0	0	0	0	0	0	0	0	0
